image_id,question,question_type,answer_type,multiple_choice_answer,question_id,multiple_choices,answers_multiple_users
333,How many people are in the image?,how many,number,1,3333,"['3', '13', '18', '14', '15', '8', '12', '19', '16', '0', '1', '7', '4', '9', '2', '5', '6', '11']","['1', '1', '0', '1', '1', '1', '3', '1', '1', '7']"
334,How many people are in the image?,how many,number,3,3343,"['3', '13', '18', '2', '14', '8', '12', '16', '20', '19', '0', '1', '9', '4', '7', '17', '5', '11']","['3', '3', '3', '0', '3', '18', '0', '15', '17', '3']"
336,How many people are in the image?,how many,number,1,3363,"['3', '13', '17', '15', '8', '12', '19', '20', '16', '0', '1', '7', '9', '4', '2', '5', '6', '11']","['1', '20', '17', '1', '1', '8', '1', '1', '1', '1']"
338,How many people are in the image?,how many,number,1,3383,"['13', '3', '18', '17', '15', '14', '12', '19', '16', '20', '1', '9', '10', '7', '2', '5', '6', '11']","['1', '1', '1', '10', '1', '1', '10', '15', '1', '1']"
339,How many people are in the image?,how many,number,1,3393,"['13', '14', '8', '15', '12', '19', '20', '16', '0', '10', '1', '9', '7', '4', '17', '5', '6', '11']","['1', '1', '8', '1', '1', '1', '1', '10', '0', '1']"
340,How many people are in the image?,how many,number,1,3403,"['13', '3', '2', '15', '8', '12', '16', '20', '19', '0', '1', '10', '4', '9', '17', '5', '6', '11']","['1', '1', '1', '19', '1', '1', '6', '1', '1', '20']"
341,How many people are in the image?,how many,number,2,3413,"['3', '13', '18', '17', '8', '12', '16', '20', '0', '1', '9', '4', '10', '7', '2', '5', '6', '11']","['2', '2', '2', '4', '2', '2', '13', '12', '2', '2']"
342,How many people are in the image?,how many,number,1,3423,"['3', '13', '18', '2', '14', '15', '8', '16', '20', '19', '0', '1', '9', '10', '4', '17', '6', '11']","['1', '2', '18', '3', '1', '1', '1', '1', '1', '1']"
344,How many animals are present in the image?,how many,number,1,3443,"['3', '13', '18', '17', '8', '15', '12', '16', '20', '19', '0', '1', '7', '4', '9', '2', '5', '6']","['1', '1', '1', '4', '1', '16', '1', '1', '1', '1']"
345,How many people are in the image?,how many,number,2,3453,"['13', '3', '14', '15', '8', '12', '17', '19', '20', '0', '7', '9', '4', '10', '1', '2', '6', '11']","['2', '19', '2', '2', '2', '11', '2', '2', '2', '2']"
346,How many people are in the image?,how many,number,1,3463,"['13', '3', '18', '14', '15', '17', '16', '20', '19', '0', '10', '1', '4', '9', '7', '2', '5', '6']","['1', '1', '1', '1', '6', '1', '1', '1', '1', '1']"
347,How many people are in the image?,how many,number,1,3473,"['3', '18', '2', '14', '8', '15', '12', '16', '19', '1', '10', '9', '7', '4', '17', '5', '6', '11']","['1', '13', '1', '1', '1', '1', '1', '16', '1', '11']"
348,How many people are in the image?,how many,number,2,3483,"['13', '3', '18', '2', '14', '8', '15', '19', '16', '0', '7', '1', '10', '4', '17', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
349,How many people are in the image?,how many,number,1,3493,"['3', '18', '2', '14', '15', '8', '12', '16', '20', '0', '7', '1', '9', '10', '4', '17', '5', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
350,How many people are in the image?,how many,number,2,3503,"['13', '3', '17', '8', '15', '14', '12', '16', '20', '19', '0', '10', '7', '4', '2', '5', '6', '11']","['2', '2', '7', '2', '19', '7', '2', '4', '2', '2']"
351,How many people are in the image?,how many,number,2,3513,"['13', '3', '18', '17', '15', '8', '12', '19', '16', '20', '9', '1', '10', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
352,How many people are in the image?,how many,number,2,3523,"['3', '13', '18', '2', '14', '15', '12', '16', '19', '0', '1', '7', '9', '10', '17', '5', '6', '11']","['2', '19', '2', '2', '2', '2', '2', '2', '7', '18']"
353,How many people are in the image?,how many,number,1,3533,"['3', '18', '2', '14', '15', '8', '12', '16', '20', '0', '1', '7', '9', '10', '4', '17', '5', '11']","['1', '1', '0', '1', '18', '0', '1', '1', '10', '1']"
354,How many people are in the image?,how many,number,1,3543,"['13', '3', '18', '14', '8', '15', '12', '20', '0', '1', '7', '4', '10', '9', '2', '5', '6', '11']","['1', '1', '1', '1', '1', '15', '3', '1', '1', '1']"
355,How many people are in the image?,how many,number,2,3553,"['3', '18', '17', '8', '15', '12', '14', '16', '20', '19', '0', '1', '10', '9', '7', '2', '5', '11']","['2', '2', '15', '2', '2', '5', '2', '2', '7', '2']"
356,How many people are in the image?,how many,number,1,3563,"['3', '13', '2', '14', '15', '12', '16', '19', '20', '0', '1', '9', '7', '10', '4', '17', '5', '6']","['1', '1', '10', '1', '1', '1', '11', '1', '9', '12']"
357,How many people are in the image?,how many,number,1,3573,"['3', '13', '18', '2', '14', '8', '12', '16', '19', '0', '10', '1', '9', '7', '4', '17', '6', '11']","['1', '14', '1', '18', '1', '1', '14', '1', '1', '1']"
358,How many people are in the image?,how many,number,1,3583,"['13', '3', '18', '14', '15', '8', '17', '12', '19', '20', '16', '0', '1', '9', '4', '10', '2', '11']","['1', '16', '13', '1', '16', '1', '13', '12', '3', '1']"
359,How many people are in the image?,how many,number,1,3593,"['13', '18', '2', '14', '15', '8', '12', '19', '20', '16', '0', '7', '1', '10', '9', '17', '5', '6']","['1', '11', '13', '10', '1', '1', '1', '1', '1', '1']"
360,How many people are in the image?,how many,number,3,3603,"['3', '13', '18', '14', '15', '8', '12', '19', '16', '20', '0', '1', '9', '4', '10', '2', '6', '11']","['3', '3', '3', '3', '3', '3', '3', '3', '1', '20']"
363,How many people are in the image?,how many,number,1,3633,"['13', '3', '18', '14', '15', '12', '19', '16', '20', '0', '1', '9', '4', '7', '2', '5', '6', '11']","['1', '1', '1', '1', '1', '8', '1', '1', '1', '1']"
364,How many people are in the image?,how many,number,3,3643,"['3', '13', '18', '2', '14', '12', '16', '19', '20', '0', '7', '9', '10', '1', '4', '17', '6', '11']","['3', '3', '3', '20', '3', '2', '3', '3', '3', '19']"
365,How many people are in the image?,how many,number,2,3653,"['13', '3', '14', '8', '15', '12', '17', '16', '0', '9', '7', '1', '10', '4', '2', '5', '6', '11']","['2', '2', '5', '11', '2', '2', '2', '2', '1', '2']"
366,How many people are in the image?,how many,number,2,3663,"['3', '13', '18', '14', '8', '15', '17', '12', '19', '20', '16', '7', '9', '10', '2', '5', '6', '11']","['2', '2', '2', '13', '3', '2', '2', '11', '18', '2']"
367,How many people are in the image?,how many,number,2,3673,"['3', '13', '18', '14', '8', '17', '12', '19', '20', '16', '0', '7', '1', '4', '10', '9', '2', '5']","['2', '17', '2', '9', '2', '2', '2', '2', '2', '2']"
368,How many people are in the image?,how many,number,2,3683,"['3', '18', '14', '8', '17', '12', '19', '20', '16', '0', '9', '7', '1', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '8', '2', '2', '2', '2']"
369,How many people are in the image?,how many,number,1,3693,"['13', '3', '18', '2', '14', '15', '8', '12', '20', '0', '7', '1', '4', '9', '17', '5', '6', '11']","['1', '1', '1', '1', '5', '1', '16', '1', '1', '14']"
370,How many people are in the image?,how many,number,1,3703,"['3', '13', '18', '2', '15', '8', '12', '19', '16', '20', '0', '7', '1', '9', '10', '4', '17', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
371,How many people are in the image?,how many,number,1,3713,"['3', '18', '17', '8', '15', '14', '12', '16', '20', '0', '10', '1', '9', '7', '4', '2', '5', '11']","['1', '6', '8', '1', '1', '1', '1', '1', '13', '1']"
372,How many people are in the image?,how many,number,1,3723,"['13', '3', '18', '2', '14', '15', '12', '19', '16', '0', '1', '9', '7', '10', '4', '17', '5', '6']","['1', '1', '7', '1', '1', '1', '20', '1', '17', '13']"
374,How many people are in the image?,how many,number,1,3743,"['3', '13', '18', '14', '15', '8', '12', '16', '19', '0', '1', '9', '4', '10', '7', '2', '5', '11']","['1', '1', '9', '12', '1', '1', '1', '15', '1', '1']"
375,How many people are in the image?,how many,number,1,3753,"['3', '13', '18', '17', '15', '14', '12', '16', '19', '0', '10', '1', '4', '9', '7', '2', '5', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '15']"
376,How many people are in the image?,how many,number,1,3763,"['3', '18', '2', '14', '8', '15', '19', '20', '16', '0', '7', '10', '1', '4', '17', '5', '6', '11']","['1', '8', '1', '13', '10', '1', '19', '1', '1', '1']"
377,How many people are in the image?,how many,number,1,3773,"['3', '18', '14', '15', '8', '17', '19', '20', '0', '1', '7', '4', '10', '9', '2', '5', '6', '11']","['1', '1', '0', '1', '1', '1', '1', '1', '1', '1']"
378,How many people are in the image?,how many,number,1,3783,"['13', '3', '18', '14', '15', '17', '12', '19', '16', '20', '0', '9', '1', '4', '10', '7', '2', '5']","['1', '0', '1', '1', '1', '2', '1', '17', '1', '11']"
380,How many people are in the image?,how many,number,1,3803,"['3', '13', '18', '14', '8', '12', '19', '20', '16', '0', '9', '1', '7', '10', '4', '2', '5', '6']","['1', '1', '1', '1', '1', '8', '1', '1', '1', '1']"
381,How many people are in the image?,how many,number,1,3813,"['3', '13', '18', '2', '15', '12', '16', '20', '19', '10', '1', '7', '9', '4', '17', '5', '6', '11']","['1', '1', '1', '13', '1', '1', '6', '1', '1', '1']"
382,How many people are in the image?,how many,number,1,3823,"['3', '18', '2', '8', '15', '12', '16', '20', '19', '7', '1', '10', '9', '4', '17', '5', '6', '11']","['1', '19', '1', '1', '1', '1', '13', '1', '1', '1']"
383,How many people are in the image?,how many,number,1,3833,"['13', '3', '2', '14', '8', '12', '16', '20', '19', '0', '1', '9', '7', '4', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '17', '1', '1', '1', '10']"
387,How many people are in the image?,how many,number,1,3873,"['13', '18', '2', '15', '8', '16', '20', '19', '0', '7', '1', '9', '10', '4', '17', '5', '6', '11']","['1', '14', '8', '1', '8', '1', '1', '12', '1', '7']"
388,How many people are in the image?,how many,number,2,3883,"['13', '3', '17', '8', '14', '12', '16', '20', '19', '0', '10', '9', '4', '7', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '0', '2', '2', '2', '2']"
389,How many people are in the image?,how many,number,1,3893,"['13', '18', '2', '14', '8', '12', '19', '20', '0', '10', '1', '7', '9', '4', '17', '5', '6', '11']","['1', '1', '1', '11', '1', '1', '1', '1', '1', '1']"
390,How many people are in the image?,how many,number,2,3903,"['13', '18', '2', '14', '15', '8', '12', '16', '20', '19', '0', '10', '7', '4', '17', '5', '6', '11']","['2', '2', '2', '2', '13', '2', '2', '2', '2', '2']"
391,How many people are in the image?,how many,number,1,3913,"['13', '3', '18', '14', '8', '15', '12', '19', '20', '16', '0', '10', '1', '9', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '8', '1']"
392,How many people are in the image?,how many,number,2,3923,"['18', '17', '15', '14', '12', '16', '20', '19', '0', '9', '10', '4', '1', '7', '2', '5', '6', '11']","['2', '2', '15', '18', '13', '2', '2', '0', '18', '2']"
393,How many people are in the image?,how many,number,3,3933,"['3', '13', '18', '2', '14', '8', '15', '12', '19', '16', '0', '9', '10', '7', '17', '5', '6', '11']","['3', '3', '3', '3', '3', '9', '3', '4', '3', '3']"
394,How many people are in the image?,how many,number,1,3943,"['3', '18', '17', '15', '14', '12', '8', '16', '20', '0', '1', '9', '4', '10', '2', '5', '6', '11']","['1', '1', '8', '14', '1', '1', '3', '1', '1', '1']"
395,How many people are in the image?,how many,number,2,3953,"['3', '13', '14', '8', '15', '12', '19', '20', '16', '0', '9', '7', '4', '10', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '19', '2', '2', '0']"
396,How many people are in the image?,how many,number,1,3963,"['3', '13', '2', '14', '15', '8', '12', '16', '19', '20', '0', '7', '1', '9', '10', '17', '5', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '4', '2']"
397,How many people are in the image?,how many,number,1,3973,"['13', '3', '17', '15', '8', '12', '19', '20', '0', '1', '9', '7', '10', '4', '2', '5', '6', '11']","['1', '1', '15', '1', '0', '1', '20', '8', '1', '1']"
399,How many people are in the image?,how many,number,1,3993,"['3', '13', '18', '14', '15', '8', '12', '16', '20', '19', '0', '7', '1', '9', '10', '4', '2', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
400,How many people are in the image?,how many,number,1,4003,"['13', '18', '14', '8', '15', '12', '17', '16', '20', '19', '0', '1', '10', '7', '4', '2', '5', '6']","['1', '1', '1', '1', '1', '20', '1', '19', '1', '1']"
401,How many people are in the image?,how many,number,4,4013,"['3', '13', '18', '14', '8', '17', '12', '19', '20', '16', '1', '9', '4', '7', '10', '2', '6', '11']","['4', '17', '4', '4', '4', '4', '4', '4', '4', '4']"
402,How many people are in the image?,how many,number,1,4023,"['3', '13', '18', '2', '14', '8', '15', '12', '16', '20', '19', '0', '1', '7', '9', '4', '17', '5']","['1', '8', '1', '9', '10', '19', '5', '20', '1', '1']"
403,How many people are in the image?,how many,number,2,4033,"['13', '3', '17', '15', '14', '12', '8', '16', '20', '0', '9', '10', '4', '1', '7', '2', '5', '11']","['2', '2', '2', '2', '2', '6', '2', '2', '2', '2']"
404,How many people are in the image?,how many,number,2,4043,"['3', '13', '18', '2', '14', '15', '12', '19', '0', '7', '10', '4', '1', '9', '17', '5', '6', '11']","['2', '2', '3', '2', '2', '2', '2', '2', '2', '2']"
406,How many people are in the image?,how many,number,1,4063,"['13', '3', '18', '2', '14', '15', '12', '16', '20', '19', '0', '1', '10', '9', '7', '17', '5', '6']","['1', '11', '1', '1', '1', '18', '1', '1', '17', '1']"
407,How many people are in the image?,how many,number,1,4073,"['13', '3', '18', '14', '15', '8', '12', '16', '19', '20', '0', '1', '9', '10', '7', '4', '6', '11']","['1', '1', '1', '2', '2', '14', '5', '1', '1', '1']"
408,How many people are in the image?,how many,number,1,4083,"['13', '3', '18', '14', '15', '17', '8', '19', '20', '16', '0', '1', '7', '10', '4', '2', '6', '11']","['1', '10', '1', '1', '1', '1', '15', '1', '1', '6']"
409,How many people are in the image?,how many,number,1,4093,"['13', '18', '2', '14', '15', '12', '16', '20', '0', '1', '10', '4', '7', '9', '17', '5', '6', '11']","['1', '1', '1', '4', '19', '1', '1', '1', '1', '9']"
410,How many people are in the image?,how many,number,1,4103,"['3', '13', '18', '17', '12', '16', '20', '19', '0', '1', '9', '4', '7', '10', '2', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '9', '1', '12', '1']"
411,How many people are in the image?,how many,number,2,4113,"['3', '13', '18', '14', '15', '8', '12', '16', '20', '19', '7', '9', '4', '1', '2', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '20', '2', '3', '11']"
412,How many people are in the image?,how many,number,1,4123,"['13', '3', '18', '14', '15', '8', '12', '16', '20', '19', '1', '9', '4', '10', '17', '5', '6', '11']","['1', '1', '1', '4', '1', '1', '20', '1', '1', '1']"
413,How many people are in the image?,how many,number,1,4133,"['3', '18', '2', '14', '15', '8', '12', '16', '19', '0', '1', '9', '10', '7', '4', '17', '5', '6']","['1', '11', '9', '1', '1', '3', '1', '1', '1', '8']"
414,How many people are in the image?,how many,number,1,4143,"['3', '17', '8', '15', '14', '12', '16', '19', '20', '0', '1', '7', '4', '10', '2', '5', '6', '11']","['1', '1', '1', '1', '15', '10', '13', '1', '1', '14']"
416,How many people are in the image?,how many,number,1,4163,"['13', '3', '18', '14', '8', '15', '12', '19', '20', '16', '0', '1', '9', '7', '10', '4', '2', '5']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
417,How many people are in the image?,how many,number,1,4173,"['13', '2', '14', '15', '8', '12', '16', '19', '0', '10', '1', '7', '9', '4', '17', '5', '6', '11']","['1', '1', '16', '18', '19', '9', '1', '1', '20', '1']"
418,How many people are in the image?,how many,number,2,4183,"['13', '3', '18', '2', '8', '12', '19', '16', '20', '0', '9', '1', '4', '10', '17', '5', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '13', '2', '2']"
419,How many people are in the image?,how many,number,2,4193,"['3', '13', '18', '14', '17', '8', '12', '19', '16', '20', '0', '9', '1', '4', '7', '2', '6', '11']","['2', '7', '2', '17', '2', '2', '2', '2', '2', '2']"
420,How many people are in the image?,how many,number,1,4203,"['13', '3', '18', '8', '12', '19', '20', '16', '0', '1', '10', '4', '9', '7', '2', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '20', '1']"
421,How many people are in the image?,how many,number,1,4213,"['13', '3', '18', '14', '15', '8', '12', '16', '19', '20', '0', '1', '9', '4', '17', '5', '6', '11']","['1', '14', '1', '1', '1', '1', '4', '1', '13', '1']"
422,How many people are in the image?,how many,number,1,4223,"['3', '13', '18', '2', '8', '19', '20', '16', '0', '9', '1', '7', '10', '4', '17', '5', '6', '11']","['1', '1', '1', '1', '2', '9', '1', '19', '1', '1']"
424,How many people are in the image?,how many,number,2,4243,"['13', '3', '18', '14', '15', '17', '12', '8', '20', '0', '7', '9', '1', '4', '2', '5', '6', '11']","['2', '2', '2', '9', '2', '2', '2', '2', '16', '7']"
425,How many people are in the image?,how many,number,4,4253,"['3', '13', '18', '14', '8', '15', '12', '17', '16', '20', '9', '1', '4', '7', '2', '5', '6', '11']","['4', '4', '4', '4', '12', '4', '9', '4', '11', '15']"
426,How many animals are present in the image?,how many,number,1,4263,"['18', '14', '15', '17', '12', '8', '19', '16', '20', '1', '9', '7', '10', '4', '2', '5', '6', '11']","['1', '0', '16', '1', '14', '1', '1', '1', '1', '6']"
427,How many people are in the image?,how many,number,1,4273,"['3', '18', '14', '15', '8', '12', '16', '19', '20', '0', '1', '7', '4', '9', '10', '17', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '15', '1', '14']"
428,How many people are in the image?,how many,number,1,4283,"['13', '3', '14', '8', '17', '15', '19', '16', '20', '0', '7', '10', '1', '4', '2', '5', '6', '11']","['1', '9', '6', '1', '17', '4', '1', '1', '1', '1']"
429,How many people are in the image?,how many,number,2,4293,"['3', '13', '14', '15', '17', '8', '12', '19', '16', '20', '0', '7', '9', '4', '2', '5', '6', '11']","['2', '2', '2', '13', '2', '2', '2', '2', '2', '2']"
431,How many people are in the image?,how many,number,2,4313,"['13', '3', '18', '17', '15', '14', '8', '16', '20', '19', '10', '1', '4', '7', '2', '5', '6', '11']","['2', '16', '0', '3', '2', '2', '2', '2', '7', '2']"
432,How many people are in the image?,how many,number,1,4323,"['13', '3', '14', '8', '17', '12', '15', '16', '19', '20', '1', '7', '4', '9', '2', '5', '6', '11']","['1', '5', '1', '1', '1', '1', '12', '1', '1', '1']"
433,How many people are in the image?,how many,number,1,4333,"['3', '18', '15', '8', '12', '19', '20', '16', '0', '10', '1', '4', '9', '7', '17', '5', '6', '11']","['1', '1', '1', '17', '1', '1', '1', '1', '1', '1']"
434,How many animals are present in the image?,how many,number,3,4343,"['3', '13', '18', '14', '15', '8', '17', '12', '16', '20', '19', '0', '10', '7', '4', '2', '6', '11']","['3', '3', '3', '3', '5', '3', '3', '3', '3', '11']"
435,How many people are in the image?,how many,number,1,4353,"['13', '3', '18', '2', '14', '8', '15', '12', '16', '19', '0', '1', '9', '4', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '11', '8', '13', '1', '1']"
436,How many people are in the image?,how many,number,2,4363,"['13', '3', '18', '14', '8', '15', '12', '16', '20', '19', '0', '1', '9', '10', '2', '5', '6', '11']","['2', '2', '10', '2', '4', '2', '2', '2', '2', '2']"
437,How many people are in the image?,how many,number,2,4373,"['13', '3', '18', '14', '17', '15', '12', '19', '20', '16', '0', '10', '1', '9', '7', '2', '5', '11']","['2', '9', '2', '8', '2', '2', '2', '2', '7', '2']"
438,How many people are in the image?,how many,number,1,4383,"['13', '3', '14', '8', '15', '12', '17', '19', '20', '16', '0', '1', '10', '4', '2', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '4', '1']"
440,How many people are in the image?,how many,number,1,4403,"['3', '18', '14', '15', '8', '12', '16', '19', '20', '0', '7', '1', '4', '9', '2', '5', '6', '11']","['1', '9', '1', '1', '10', '15', '1', '1', '18', '1']"
441,How many animals are present in the image?,how many,number,1,4413,"['3', '13', '18', '14', '8', '15', '17', '19', '16', '20', '0', '7', '1', '4', '10', '2', '5', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
442,How many people are in the image?,how many,number,1,4423,"['13', '3', '18', '14', '15', '8', '12', '19', '20', '7', '1', '10', '9', '4', '17', '5', '6', '11']","['1', '1', '1', '12', '1', '14', '1', '1', '7', '1']"
443,How many animals are present in the image?,how many,number,2,4433,"['13', '3', '18', '14', '15', '17', '12', '19', '16', '0', '9', '1', '4', '10', '2', '5', '6', '11']","['2', '18', '2', '2', '18', '2', '3', '16', '2', '2']"
444,How many people are in the image?,how many,number,1,4443,"['13', '2', '14', '8', '15', '12', '16', '19', '0', '7', '1', '9', '10', '4', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '0', '1', '19', '1']"
445,How many people are in the image?,how many,number,1,4453,"['13', '3', '2', '14', '8', '15', '19', '16', '20', '0', '7', '1', '9', '4', '17', '5', '6', '11']","['1', '12', '1', '14', '1', '1', '1', '1', '1', '18']"
446,How many animals are present in the image?,how many,number,1,4463,"['3', '13', '18', '2', '14', '8', '15', '12', '19', '20', '16', '0', '1', '9', '4', '17', '5', '11']","['1', '1', '15', '1', '11', '14', '1', '1', '1', '1']"
447,How many people are in the image?,how many,number,1,4473,"['13', '3', '18', '2', '14', '8', '12', '19', '16', '0', '1', '7', '4', '9', '17', '5', '6', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '3', '1']"
448,How many people are in the image?,how many,number,1,4483,"['3', '13', '18', '14', '8', '12', '16', '20', '0', '1', '9', '4', '7', '10', '17', '5', '6', '11']","['1', '1', '15', '1', '1', '1', '7', '1', '1', '1']"
449,How many people are in the image?,how many,number,1,4493,"['3', '13', '17', '15', '14', '12', '19', '16', '0', '10', '1', '9', '7', '4', '2', '5', '6', '11']","['1', '1', '17', '1', '16', '1', '1', '16', '1', '17']"
450,How many people are in the image?,how many,number,2,4503,"['13', '18', '14', '15', '8', '12', '16', '19', '20', '0', '9', '10', '4', '1', '7', '2', '5', '6']","['2', '16', '2', '4', '2', '2', '2', '2', '3', '6']"
451,How many people are in the image?,how many,number,1,4513,"['13', '3', '18', '17', '15', '14', '12', '8', '19', '20', '16', '1', '9', '4', '10', '2', '5', '6']","['1', '1', '1', '1', '18', '1', '1', '1', '1', '1']"
452,How many people are in the image?,how many,number,2,4523,"['13', '3', '18', '14', '8', '17', '12', '15', '19', '20', '0', '10', '7', '4', '2', '5', '6', '11']","['2', '2', '2', '2', '11', '2', '16', '5', '2', '2']"
453,How many people are in the image?,how many,number,4,4533,"['13', '3', '18', '14', '15', '8', '12', '16', '19', '20', '0', '10', '7', '4', '9', '1', '2', '11']","['4', '4', '4', '10', '4', '4', '2', '4', '4', '4']"
455,How many people are in the image?,how many,number,1,4553,"['13', '18', '14', '8', '15', '17', '12', '19', '20', '0', '1', '9', '4', '7', '2', '5', '6', '11']","['1', '1', '1', '1', '6', '1', '4', '1', '18', '1']"
456,How many people are in the image?,how many,number,2,4563,"['3', '13', '18', '14', '8', '15', '17', '16', '20', '19', '0', '1', '10', '4', '9', '2', '6', '11']","['2', '2', '5', '11', '1', '2', '2', '11', '2', '2']"
457,How many people are in the image?,how many,number,2,4573,"['13', '3', '18', '2', '14', '8', '15', '12', '19', '20', '16', '10', '9', '7', '1', '17', '5', '6']","['2', '18', '15', '13', '9', '2', '2', '2', '2', '2']"
458,How many people are in the image?,how many,number,1,4583,"['13', '3', '18', '14', '17', '15', '12', '16', '20', '19', '0', '10', '1', '9', '7', '2', '5', '11']","['1', '1', '1', '17', '1', '1', '11', '1', '1', '1']"
459,How many people are in the image?,how many,number,1,4593,"['3', '13', '2', '15', '8', '12', '19', '20', '16', '0', '1', '9', '4', '7', '10', '17', '5', '11']","['1', '1', '7', '1', '1', '1', '1', '18', '1', '1']"
461,How many people are in the image?,how many,number,1,4613,"['3', '18', '2', '14', '15', '8', '12', '19', '20', '16', '0', '1', '7', '9', '10', '17', '5', '11']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
463,How many people are in the image?,how many,number,2,4633,"['13', '3', '18', '14', '8', '15', '12', '19', '20', '0', '1', '9', '10', '7', '4', '2', '6', '11']","['2', '2', '2', '2', '2', '2', '2', '11', '2', '2']"
465,How many people are in the image?,how many,number,1,4653,"['3', '13', '18', '17', '8', '15', '14', '16', '19', '20', '0', '1', '10', '9', '4', '2', '5', '11']","['1', '1', '1', '1', '1', '1', '11', '1', '12', '15']"
466,How many people are in the image?,how many,number,1,4663,"['13', '3', '18', '17', '8', '15', '16', '20', '19', '0', '1', '9', '10', '7', '4', '2', '6', '11']","['1', '1', '7', '1', '1', '1', '1', '19', '9', '1']"
467,How many people are in the image?,how many,number,1,4673,"['3', '13', '18', '17', '8', '14', '12', '19', '20', '16', '1', '9', '4', '7', '10', '2', '6', '11']","['1', '11', '1', '1', '1', '2', '1', '1', '1', '1']"
468,How many people are in the image?,how many,number,2,4683,"['3', '13', '18', '14', '8', '12', '16', '20', '0', '10', '9', '4', '7', '1', '2', '5', '6', '11']","['2', '2', '3', '2', '2', '2', '2', '2', '2', '2']"
469,How many people are in the image?,how many,number,1,4693,"['13', '18', '14', '17', '15', '16', '20', '19', '0', '7', '1', '9', '10', '4', '2', '5', '6', '11']","['1', '1', '1', '1', '7', '1', '1', '1', '18', '4']"
470,How many people are in the image?,how many,number,1,4703,"['3', '13', '18', '8', '15', '12', '19', '16', '20', '0', '10', '1', '9', '4', '2', '5', '6', '11']","['1', '1', '1', '9', '1', '1', '1', '1', '1', '1']"
471,How many people are in the image?,how many,number,1,4713,"['13', '18', '17', '15', '14', '8', '19', '16', '20', '0', '10', '1', '7', '9', '2', '5', '6', '11']","['1', '19', '1', '1', '1', '1', '1', '3', '1', '1']"
472,How many people are in the image?,how many,number,1,4723,"['13', '3', '18', '14', '8', '15', '12', '16', '20', '19', '0', '1', '9', '10', '2', '5', '6', '11']","['1', '1', '1', '1', '1', '11', '17', '1', '18', '1']"
473,How many people are in the image?,how many,number,1,4733,"['3', '13', '18', '17', '15', '12', '19', '16', '20', '0', '1', '9', '7', '4', '2', '5', '6', '11']","['1', '5', '1', '13', '11', '1', '1', '1', '4', '16']"
475,How many people are in the image?,how many,number,3,4753,"['3', '13', '18', '14', '8', '17', '12', '19', '0', '9', '1', '4', '10', '7', '2', '5', '6', '11']","['3', '19', '3', '4', '3', '3', '3', '13', '3', '16']"
478,How many people are in the image?,how many,number,1,4783,"['3', '13', '18', '2', '14', '15', '12', '19', '16', '20', '1', '7', '10', '9', '4', '17', '5', '6']","['1', '3', '1', '1', '1', '1', '1', '1', '1', '1']"
479,How many people are in the image?,how many,number,3,4793,"['3', '13', '2', '14', '8', '15', '12', '16', '19', '20', '0', '10', '9', '4', '7', '17', '5', '11']","['3', '3', '9', '3', '3', '3', '3', '3', '3', '6']"
480,How many people are in the image?,how many,number,2,4803,"['13', '3', '14', '8', '17', '12', '15', '16', '20', '19', '0', '1', '7', '4', '10', '2', '5', '11']","['2', '2', '2', '2', '18', '8', '2', '2', '17', '2']"
481,How many people are in the image?,how many,number,2,4813,"['13', '3', '18', '14', '17', '8', '12', '15', '16', '20', '19', '0', '1', '9', '4', '2', '5', '11']","['2', '9', '2', '2', '2', '2', '2', '2', '9', '2']"
482,How many people are in the image?,how many,number,1,4823,"['13', '3', '18', '14', '15', '8', '16', '20', '19', '0', '9', '7', '1', '10', '4', '17', '5', '6']","['1', '8', '1', '14', '1', '1', '7', '1', '1', '8']"
