image_id,question,multiple_choices,question_id,question_type,multiple_choice_answer,answer_type,answers_multiple_users
182,What is the woman adjusting?,"['yellow', 'yes', '80', '2', 'blue', 'red', 'no', '1', 'in front of fireplace', 'with boy', 'bra strap', '3', '4', 'shirt', 'white', 'picture', 'place setting', 'thrown there']",1820,what is the woman,picture,other,"['picture', 'painting', 'picture', 'painting', 'picture', 'picture', 'picture', 'pictures', 'painting', 'picture']"
182,What is on the wall?,"['pictures', 'paintings', '2', 'plants and cat', '1', 'window', 'painting', 'yellow', 'watching kid', 'no', '4', 'blue', 'white', 'children and dog', 'photo', '3', 'red', 'yes']",1821,what is on the,pictures,other,"['paintings', 'paintings', 'pictures', 'paintings', 'pictures', 'paintings', 'paintings, photo', 'painting', 'pictures', 'pictures']"
182,Is there a fire lit?,"['1', 'yes', 'red', 'against back wall', 'blue', 'playing with baby', '4', '3', 'romantic', 'park', 'white', 'no', '2', 'shirt curtains dog', 'yellow', 'boy in blue shirt', 'under couch', 'in water']",1822,is there a,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
182,How many people are in the image?,"['13', '18', '14', '15', '8', '17', '16', '19', '0', '1', '9', '4', '10', '7', '2', '5', '6', '11']",1823,how many,1,number,"['1', '1', '19', '12', '1', '1', '1', '10', '1', '1']"
183,What is he holding?,"['white', '1', '3', 'stick', '4', 'cup', 'window', 'talking', 'dog and rabbit', 'yellow', 'no', '2', 'bat', 'blue', 'red', 'cat', 'yes', 'never']",1830,what is,bat,other,"['bat', 'bat', 'baseball bat', 'bat', 'bat', 'bat', 'bat', 'bat', 'bat', 'bat']"
183,Is the old man attacking bees with a bat?,"['90', 'fast', 'family', 'he wanted car', '2', 'yellow', 'blue', 'yes', 'white', 'young man is not dropping football', 'sidewalk', '4', 'there are no fish', '1', '3', 'red', 'maybe', 'no']",1831,is the old man,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
183,Is he hoping it will fall in the bucket?,"['2', 'could get hurt', '1', 'green and yellow', 'no', 'marshmallow on stick', 'yes', 'blue', 'fish', 'white', '3', '4', 'cartoons', 'yellow', 'upright', 'red', 'es', 'mo']",1832,is he,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
183,How many people are in the image?,"['13', '3', '18', '2', '14', '8', '16', '19', '0', '1', '7', '4', '10', '9', '17', '5', '6', '11']",1833,how many,1,number,"['1', '14', '1', '1', '1', '1', '15', '1', '3', '16']"
184,What are they doing?,"['blue', 'legos and doll', 'yes', 'yellow', 'cooking', 'red', '2', 'dancing', 'kicking it', '3', '4', 'eating', '1', 'white', 'no', 'playing with dogs', 'unknown', 'watching tv']",1840,what are they,dancing,other,"['dancing', 'dancing', 'dancing', 'dancing', 'dancing', 'dancing', 'dancing', 'dancing', 'dancing', 'dancing']"
184,Are they drinking wine?,"['setting', '1', 'wine bottles and yarn', 'she is sitting near campfire', '4', 'birthday', 'blue one', 'no they are drinking coffee', 'giving dog bone', 'wine', 'yellow', 'blue', 'yes', '2', 'red', 'no', 'white', '3']",1841,are they,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
184,Is the TV on?,"['sports game', 'yes', '3', 'blue', 'stand', 'white', '2', 'eagle', 'basket and plants', '1', 'nuts', 'catching it', 'news', '4', 'curtain, tablecloth and fireplace', 'no', 'yellow', 'red']",1842,is the tv,yes,yes/no,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
184,How many people are in the image?,"['13', '3', '18', '17', '8', '14', '12', '19', '16', '20', '1', '7', '4', '9', '2', '5', '6', '11']",1843,how many,2,number,"['2', '2', '2', '2', '10', '2', '18', '2', '2', '1']"
185,How many trees?,"['sue', 'yes', '7', '2', '1', 'yellow', 'red', '3', 'white and gray', 'no', '4', 'romantic', 'under chair', 'train', 'blue', 'white', '5', '8']",1850,how many,3,number,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
185,What color are the butterflies?,"['on wall', '1', 'orange', 'yes', 'blocks', 'no', 'chasing soccer ball', '2', 'yellow', 'blue', 'black and yellow', 'joe', '3', '4', 'white', 'yellow, black', 'curtain', 'red']",1851,what color are the,blue,other,"['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue']"
185,How many logs?,"['8', 'yellow', 'white', 'for sitting', 'yes', '2', 'quack', 'red', '4', '7', '1', '3', 'asian', 'blue', 'stop', 'no', '5', 'middle of people']",1852,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
185,How many animals are present in the image?,"['3', '13', '18', '14', '17', '15', '12', '8', '19', '20', '1', '10', '4', '7', '2', '5', '6', '11']",1853,how many,1,number,"['1', '8', '1', '4', '19', '1', '1', '1', '1', '1']"
186,How many paintings are there?,"['upper right', 'honey', '1', 'white', 'no', 'in other room', '45', '2', '4', '5', '3', 'on rug', 'book and cd', 'red', 'blue', '12', 'yellow', 'yes']",1860,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
186,How many pillows on the sofa?,"['yellow', 'blue', 'picnic foods', '3', '7', 'red', 'loafers', 'no', 'yes', 'boy is playing with her toys', 'white', '4', '2', 'news', '6', '1', '5', 'ponytail']",1861,how many pillows,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
186,What is the lady looking at?,"['blue', 'white', 'no', 'stick', 'baby', 'yes', 'picnic', 'red', 'yellow', '3', '4', 'tv', '1', 'toy train', 'kids may fall', '2', 'table', 'her reflection']",1862,what is the lady,table,other,"['couch', 'table', 'table', 'sofa', 'couch', 'not sure', 'couch', 'table', 'couch', 'table']"
186,How many people are in the image?,"['3', '13', '18', '2', '14', '15', '8', '12', '19', '20', '16', '1', '10', '4', '17', '5', '6', '11']",1863,how many,1,number,"['1', '18', '1', '1', '17', '1', '10', '1', '3', '18']"
187,Where is the fire?,"['3', 'red', '4', '1', 'joe', 'afraid', 'yes', 'blue', 'french doors', 'in fireplace', '2', 'yellow', 'fireplace', 'to grill food', 'no', 'in fire pit at campsite', 'white', 'in middle of logs']",1870,where is the,in middle of logs,other,"['left of middle', 'on ground', 'middle of logs', 'in middle of logs', 'between logs', 'in fire pit', 'in middle of logs', 'middle', 'between logs', 'to right']"
187,How many rabbits?,"['no', 'blue', '8', '2', '5', '4', 'being bad', 'pillow fight', 'yellow', '1', 'white', '3', 'right side', 'red', '0', 'yes', 'top 2', 'girl and dog']",1871,how many,3,number,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
187,What is the lady sitting on?,"['no', 'to left', 'white', 'yes', 'arms', 'red', 'blue', '4', 'blanket', '1', 'to look at raccoon', 'chair', 'bench', 'log', '2', 'yellow', 'nighttime', '3']",1872,what is the lady,log,other,"['log', 'log', 'log', 'log', 'log', 'log', 'log', 'log', 'log', 'log']"
187,How many people are in the image?,"['13', '3', '18', '17', '8', '15', '12', '14', '19', '20', '0', '1', '7', '9', '4', '2', '5', '11']",1873,how many,2,number,"['2', '2', '2', '2', '7', '2', '2', '2', '16', '2']"
188,Is it cold out?,"['1', 'red', 'white', 'pulling', 'yellow', 'catch fish', '3', 'yes', 'no', 'chips', 'blue', 'morning', '4', 'flat screen', 'tree base', 'maybe', 'evening', '2']",1880,is it,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
188,Is the kid happy?,"[""it isn't"", 'just now', 'unsure', 'overdressed', 'red', 'no', 'blue', 'leg', 'white', 'snack', '1', '2', 'no its circled', 'yes', '4', 'happy?', '3', 'yellow']",1881,is the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
188,Is the door open?,"['red', 'yellow', 'closed', 'most of it', 'yes', '1', 'brown', 'to talk', 'open', 'no', 'teenager', '3', 'blue', '2', 'shut', 'to watch them', '4', 'white']",1882,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
189,What is on the seat?,"['3', 'white', '1', 'on its side', 'boy 1 and boy 2', 'fairy ring', 'book', 'pizza', 'red', 'yellow', 'no', 'yes', 'blue', 'next to sofa', '2', '4', 'dog', 'laptop']",1890,what is on the,pizza,other,"['pizza', 'pizza', 'plate of pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza']"
189,Is the boy walking or running in the house?,"['walking', '2', '3', 'yellow', '1', 'white', 'blue', 'rising', '4', 'red', 'no', 'cat hair', 'by bushes', 'yes', 'sitting', 'beige and brown', 'running', 'ball']",1891,is the boy,running,other,"['running', 'running', 'running', 'running', 'running', 'running', 'running', 'running', 'running', 'running']"
189,What is on the seat of the chair?,"['by table', 'cat', 'yes', 'boy', 'cushion', '2', 'jake', 'white', 'no', 'yellow', 'bookshelf', '3', '1', 'blue', 'pizza', 'train', 'red', '4']",1892,what is on the,pizza,other,"['pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pillow', 'pizza', 'pizza', 'pizza']"
189,How many people are in the image?,"['3', '18', '14', '15', '8', '12', '19', '16', '0', '10', '1', '4', '7', '9', '2', '5', '6', '11']",1893,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
190,What color is her book?,"['no', '1', '2 hours', 'tan', '2', 'on pond', 'black', 'yellow', 'white', 'blue', 'no flower', 'red', 'in air', 'green', 'yes', '4', 'alcohol', '3']",1900,what color is,yellow,other,"['yellow', 'brown', 'yellow', 'yellow', 'yellow', 'yellow', 'yellow', 'yellow', 'yellow', 'yellow']"
190,Do the curtains match?,"['no', 'long', 'blue', 'red', '4', '20', 'yes they do', 'white', 'ground', 'yes', 'ham', 'cheering', '3', 'abstract', '2', '1', 'yellow', 'twist']",1901,do the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
190,Where is the plant?,"['in pot', 'blue', '60', 'yes', '2', 'outside', 'under window', 'jumping', '4', 'yellow', 'no', '1', 'red', '3', 'white', 'animals', 'floor', 'taking away objects']",1902,where is the,floor,other,"['floor', 'under right window', 'floor', 'below window', 'in front of window', 'underneath window', 'under window', 'right', 'in corner', 'floor']"
191,Is there a mouse by the couch?,"['3', 'against back wall', 'on wall', '2', 'red', 'yellow', 'white', '4', 'gaming', '1', 'chips and salsa', 'blue', 'wood', 'no flower', 'middle of wall', 'brown one', 'no', 'yes']",1910,is there a,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
191,What color is the couch?,"['in bed', '2', '1', 'no', 'pointing', '3', 'falling', 'get up', 'tan', 'gray', 'white', 'blue', 'yes', 'red', 'yellow', '4', 'brown', 'grandpa']",1911,what color is the,red,other,"['red', 'brownish red', 'red', 'red', 'red', 'red', 'red', 'red', 'red', 'red']"
191,Is the door open?,"['shut', 'blue', '3', 'yes', '1', 'ivy', 'red, orange, yellow, blue, tan', 'red', 'blue purple pink yellow', 'no', '4', '2', 'white', 'yellow', 'closed', 'fat', 'food', 'open']",1912,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
191,How many people are in the image?,"['3', '13', '18', '2', '14', '8', '15', '12', '19', '20', '0', '1', '10', '9', '4', '17', '5', '6']",1913,how many,1,number,"['1', '10', '1', '18', '4', '1', '16', '1', '1', '1']"
192,What is the ball on the ground?,"['upset', '1', 'roach', 'white', 'football', 'by table', '4', 'concrete', '2', 'bug', 'soccer', 'blue', 'it belongs', 'yellow', 'no', 'red', '3', 'yes']",1920,what is the,soccer,other,"['soccer', 'soccer', 'no', 'soccer', 'soccer ball', 'bouncing', 'soccer', 'playing kickball', 'soccer ball', 'soccer ball']"
192,What are the people playing?,"['baseball', 'it was built that way', '2', 'yellow', 'red', 'behind woman', 'monopoly', 'white', 'blue', '4', 'no', 'yes', '1', 'guitars', 'sarah', '3', 'to see turtle', 'soccer']",1921,what are the,soccer,other,"['soccer', 'soccer', 'soccer', 'soccer', 'kickball', 'soccer', 'soccer', 'soccer', 'soccer', 'soccer']"
192,Does the people look sad?,"['3', 'white', 'drunk', 'dismay', 'yes', 'floor', '1', 'blue', 'red', 'pacman', 'yellow', 'next to pond', 'no', 'tree', '2', '4', 'pushing in chair', 'happy']",1922,does the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
192,How many people are in the image?,"['3', '13', '18', '14', '15', '16', '19', '20', '0', '1', '9', '4', '10', '7', '2', '5', '6', '11']",1923,how many,2,number,"['2', '8', '2', '2', '2', '5', '2', '2', '2', '2']"
193,How can we tell that the dog is happy?,"['looking out', 'blue', 'white', 'plants', 'red', 'no', '4', '3', '2', 'playing', 'sofa', 'yes', 'tail wagging', ""he's running"", '1', 'tail', 'drinks', 'yellow']",1930,how,he's running,other,"['tail', ""he's playing with girl"", ""he's playing with little girl"", 'girl smiling', 'unknown', 'it looks happy', 'running', ""he's running"", 'its running around', 'tail vertical']"
193,Will the girl reach the sidewalk if she continues?,"['3', 'robin', '2', 'yellow', 'blue', 'on man', '1', 'ground', 'white', 'maybe', '80', '4', 'no', 'very likely', 'red', 'yes', 'tan orange peach', 'on desk']",1931,will the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
193,Who is running with the girl?,"['yellow', '1 year', 'white', 'mother', '3', 'vertical', 'red', 'dog', 'father', 'yes', 'autumn', 'no', 'boy', '4', '2', 'blue', 'sick', '1']",1932,who is,dog,other,"['dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog']"
193,How many people are in the image?,"['3', '13', '18', '2', '14', '15', '8', '16', '20', '19', '0', '7', '1', '4', '9', '17', '5', '6']",1933,how many,1,number,"['1', '10', '1', '19', '1', '20', '1', '5', '1', '1']"
194,Is the guy playing with his dog near a picture?,"['what kind of dog?', '4', 'blue', 'because', 'rays', 'antsy', 'white', 'red', '2', 'animal', 'yes', 'landscape', 'no', '3', 'yellow', 'table', '1', 'fetch']",1940,is the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
194,Is the puppy sleeping in his bed?,"['blue', 'yellow', '4', 'ni', 'white', '2', 'red', 'sleeping', 'no', 'to chew on', 'yes', 'make honey', 'napping', 'kick ball', 'jake', 'catching girl', '1', '3']",1941,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
194,How many paintings are not of sunsets?,"['red', '3', 'stripes', '2,', 'fishing pole', 'birthday', 'no', 'yes', '10', 'one closest to sun', '2', 'yellow', '7', '1', 'blue', 'white', '4', 'flip it']",1942,how many,1,number,"['1', '1', '1', '1', '1', '2', '1', '2', '1', '1']"
194,How many people are in the image?,"['3', '18', '2', '14', '15', '8', '12', '19', '20', '16', '0', '1', '9', '7', '4', '17', '5', '11']",1943,how many,1,number,"['1', '1', '1', '1', '1', '1', '20', '1', '1', '2']"
195,Do both pictures on the wall match?,"['yes', 'blue', 'hispanic', 'yellow', 'picture', '1', '3', 'red', 'photos', '30 years', 'through park', 'mice', 'no', '4', '2', 'white', ""it's cute"", 'picture frame']",1950,do,no,yes/no,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
195,Is the woman mad?,"['pick up', '3', 'red', 'squares', 'shorter', 'yellow', '4', 'white', 'gliding across floor', '2', 'turtles, squirrel, birds', 'idk', 'skinny', 'yes', 'blue', 'no', '1', 'sweat']",1951,is the woman,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
195,What color is the chair?,"['watching deer', 'yellow', 'no', 'tan', 'black', '4', 'dining room', 'white', 'yes', 'looking at bone', 'blue', 'red', 'curled', 'person', '2', '1', '3', 'brown']",1952,what color is the,blue,other,"['blue', 'blue', 'blue', 'blue', 'light blue', 'blue', 'blue', 'blue', 'blue', 'blue']"
195,How many people are in the image?,"['3', '18', '14', '8', '17', '12', '16', '20', '19', '0', '7', '1', '9', '4', '2', '5', '6', '11']",1953,how many,1,number,"['1', '1', '1', '8', '1', '1', '1', '1', '1', '1']"
196,What is the girl sitting on?,"['4', 'swing', 'yellow', 'chair', 'red', 'white', 'at table', 'blue', '1', '3', 'mess', 'yes', '2', 'log', 'setting', 'seesaw', 'no', 'by sidewalk']",1960,what is the girl,log,other,"['log', 'log', 'log', 'log', 'log', 'log', 'log', 'log', 'log', 'log']"
196,How many clouds can pass in front of the sun?,"['100', 'no', 'many', '7', 'pasta', '0', 'white', '3', 'under coat rack', 'yes', '1', 'tape and scissors', '2', 'blue', 'yellow', '4', 'seated', 'red']",1961,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
196,What is in the box in front of the girl?,"['1', '3', 'white', 'playing soccer', 'blue', 'for fun', 'no', 'thrown there', '4', 'yes', 'yellow', 'doll', 'red', '2', 'sand', 'toy', 'food', 'with man on right']",1962,what is in the,sand,other,"['sandbox', 'sand', 'sand', 'sand', 'sand', 'sand', 'sand', 'sand', 'sand', 'sand']"
196,How many people are in the image?,"['3', '13', '2', '14', '15', '8', '12', '16', '20', '0', '7', '1', '10', '9', '17', '5', '6', '11']",1963,how many,1,number,"['1', '1', '1', '1', '1', '17', '1', '1', '1', '1']"
197,Did the boy make the fire in the fireplace?,"['drawing', '1', 'eating his food', 'rabbit and girl', 'no', 'ground', 'yes', 'white', 'closet', 'red', 'floor', 'hour', 'yellow', 'blue', '3', '2', '4', 'behind cloud']",1970,did the,no,yes/no,"['no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
197,Is he upset?,"['blue', 'center of room', 'ni', '3', 'kids may fall', ""it's his"", 'yellow', '1', 'yes', 'red', 'es', 'fire in fireplace', 'white', 'no', '4', 'happy', 'very green', '2']",1971,is he,yes,yes/no,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes']"
197,Is the table too close to the fire?,"['2', 'almost', 'yellow', 'blue', 'male', 'glasses', 'no', '1', 'white', 'home', 'red', 'pushing in chair', 'yes', 'no its circled', '3', '4', 'wood', 'moved']",1972,is the,no,yes/no,"['no', 'no', 'no', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'no']"
197,How many people are in the image?,"['3', '18', '14', '17', '8', '12', '15', '19', '16', '20', '0', '10', '7', '1', '4', '2', '5', '11']",1973,how many,1,number,"['1', '0', '1', '13', '1', '1', '1', '13', '1', '19']"
198,What animal is next to the grill?,"['white', '2', 'baby in air', '3', 'rabbit and girl', 'elephant', '1', 'yes', 'blue', 'cat', 'sunrise and girl', 'squirrel', '50', 'no', 'red', '4', 'dog', 'yellow']",1980,what animal is,squirrel,other,"['squirrel', 'squirrel', 'not clear', 'squirrel', 'squirrel', 'squirrel', 'squirrel', 'squirrel', 'squirrel', 'squirrel']"
198,Where is the sun?,"[""he's playing"", 'red', 'above', 'sky', 'no', 'boy on table', '2', 'handstands', '1', 'behind clouds', 'yellow', '4', 'white', 'yes', '3', 'blue', 'watch turtles', 'in sky']",1981,where is the,in sky,other,"['sky', 'background', 'in sky', 'sky', 'in sky', 'top of picture', 'in sky', 'by tree', 'sky', 'in sky']"
198,Is that a bird?,"['dishes', '3', 'gas', 'no', 'yes', 'hopping', 'red', '2', 'on seesaw', 'ladder', 'her husband', 'white', '4', 'blue', 'charcoal', 'yellow', 'no it is just illusion', '1']",1982,is that,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'maybe']"
198,How many people are in the image?,"['13', '18', '14', '8', '15', '12', '16', '20', '0', '1', '9', '4', '10', '7', '2', '5', '6', '11']",1983,how many,1,number,"['1', '1', '0', '5', '12', '1', '1', '2', '1', '1']"
199,What is the little girl kneeling on?,"['yes', 'he moved them that way', 'pillow', 'gaming', 'ground', '3', '1', 'to propose', 'yellow', 'red', 'vertically', 'white', 'no', '4', 'blue', 'step stool', '2', 'rug']",1990,what is the little,rug,other,"['rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug']"
199,Is the chair a love seat?,"['4', 'abstract', 'baseboard', 'red', 'landscape', 'pick up baby', 'flat', 'blue', 'no', 'yes', 'white', 'yellow', 'goldfish', '2', 'almost', '3', 'redhead', '1']",1991,is the,yes,yes/no,"['no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
199,What is the girl playing with?,"['jump rope', '2', 'no', 'white', 'school', '1', 'blue', '4', 'doll', 'ball', 'yes', 'red', 'could get hurt', '3', 'baby is on chair', '7', 'frisbee', 'yellow']",1992,what is the girl,doll,other,"['dollhouse', 'dollhouse', 'dollhouse', 'doll', 'doll', 'dollhouse', 'doll', 'doll', 'doll', 'toys']"
199,How many people are in the image?,"['13', '18', '2', '14', '15', '12', '16', '19', '0', '7', '1', '10', '9', '4', '17', '5', '6', '11']",1993,how many,1,number,"['1', '3', '1', '1', '9', '1', '1', '16', '1', '1']"
200,Is the dog trying to bite the woman?,"['dolls', 'red', 'no', 'yes', 'person falling', 'on window', 'in girls hands', 'fetch', 'yellow', '2', '4', 'woman happy to see dog?', 'white', 'blue', 'sound asleep', '3', '1', 'helping women']",2000,is the dog,no,yes/no,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
200,Are the boy and the girl happy to see each other?,"['2', 'yellow', 'yes', 'blue', 'blonde', 'unsure', 'red', 'bread', '4', '1', 'lovers', 'no', 'brother and sister', 'crew', 'knot', 'white', '3', 'footstool']",2001,are the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
200,Is the door open?,"['blue', 'open', 'white', 'pasta', '2', 'healthy', '4', 'red', '1', '3', 'yellow', 'having fun', 'shut', 'closed', 'turtle', 'yes', 'no', 'shirt curtains dog']",2002,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
200,How many people are in the image?,"['13', '3', '17', '8', '15', '12', '16', '19', '20', '0', '1', '9', '7', '4', '2', '5', '6', '11']",2003,how many,1,number,"['1', '1', '1', '1', '1', '1', '3', '18', '0', '1']"
201,Is it around midnight?,"['2', 'white', 'red', 'yellow', '1', '3', 'yoga', 'sand', 'in front of fireplace', 'evening', 'maybe', 'yes', 'cds', 'it is summer', '4', 'peach', 'no', 'blue']",2010,is it,no,yes/no,"['no', 'no/', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
201,Is the woman sitting on the floor?,"['yes', '1', 'yellow', 'white', 'idk', 'full grown', 'on chair', 'waiting for friend', 'red', 'by fire', 'girl, rabbit', 'beside pond', '3', 'no', '4', '2', 'blue', 'yes she is']",2011,is the woman,yes,yes/no,"['yes, perhaps she fell', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
201,Is the plant centered?,"['woman', 'yes', 'bike and man', 'yellow', 'red', '2', '3', '4', 'cans', 'fake', '21', 'no chairs', '1', 'no its circled', 'blue', 'white', 'no', 'real']",2012,is the,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
201,How many people are in the image?,"['3', '13', '18', '14', '8', '15', '12', '19', '20', '0', '1', '7', '4', '9', '10', '2', '6', '11']",2013,how many,1,number,"['1', '18', '1', '1', '4', '1', '10', '1', '1', '1']"
202,Is the child watching the television?,"['yes', 'no', 'white', 'blue', 'to catch girl', '4', 'yellow', 'no its circled', 'roses', 'sunglasses', '2', '3', 'table', 'red', '1', 'pie', 'basket and jump rope', 'glued to it']",2020,is the,yes,yes/no,"['nothing', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'yes', 'no']"
202,What is the dog doing?,"['red', 'watching tv', '2', 'jumping', '4', 'yellow', 'yes', 'hill', 'no', 'sleeping', 'it was built that way', 'running', '3', 'blue', '1', 'white', 'tables', 'getting cloudy']",2021,what is the dog,watching tv,other,"['barking', 'sitting', 'standing', 'sitting on arm of couch', 'watching tv', 'sitting on couch', 'watching tv', 'watching tv', 'watching', 'sitting']"
202,Is the dog babysitting?,"['cheese and wine', 'weber', 'knees', '4', 'white', 'sound asleep', 'meat', 'fetch', 'red', '3', 'not long', 'yes', 'yellow', 'sister', '2', '1', 'blue', 'no']",2022,is the dog,no,yes/no,"['no', 'maybe', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
203,Is the man doing yoga?,"['siblings', '1', '3', 'blue', 'unsure', 'steak', 'yes', 'red', 'no', 'white', '90', 'yellow', '4', '2', 'area rug', 'matches', 'on her lap', 'comfortable']",2030,is the man,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
203,Where is the dog?,"['on sofa', '2', 'book', 'dog house', 'floor', 'white', '3', 'blue', 'hanging it', 'yes', 'someone will drink it', 'yellow', '4', '1', 'no', 'red', 'ottoman', 'man is falling']",2031,where is the,ottoman,other,"['ottoman', 'on stool', 'table', 'on ottoman', 'stool', 'table', 'on ottoman', 'stool', 'on stool', 'ottoman']"
203,What is the man holding?,"['no', 'blue', 'candle', 'red', 'baseball', '1', 'hammer', '2', 'yellow', '3', 'white', 'to watch them', '4', 'sandwich', 'yes', 'size', 'granddaughter', 'by woman']",2032,what is the man,sandwich,other,"['bread', 'bread', 'toast', 'bread', 'peanut butter bread', 'sandwich', 'sandwich', 'sandwich', 'bread', 'sandwich']"
204,What are the cats playing with?,"['2', 'white', '3', '4', '1', 'red', 'yes', 'gone', 'yellow', 'blue', 'opening it', 'mouse', 'no', 'ball', 'toy', 'cloud', '20', 'yarn']",2040,what are the,yarn,other,"['yarn', 'yarn', 'yarn', 'string', 'yarn', 'yarn', 'yarn', 'ball of yarn', 'yarn', 'yarn']"
204,Are the people laughing at the cats?,"['ne', '2', 'birthday', '4', '1', 'white', 'old', 'no', 'blue', '3', 'afternoon', 'yellow', 'yes', 'red', 'block', 'curled', 'to boy', 'under tree']",2041,are the people,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
204,What color is the couch?,"['yellow', 'tan', 'red', 'gray', 'girls', '1', '4', 'no', 'white', 'plate', 'video games', 'to read', '2', 'blue', 'brown', 'yes', '3', 'go on picnic']",2042,what color is the,red,other,"['red', 'red', 'red', 'brown', 'red', 'red', 'red', 'red', 'red', 'red']"
204,How many people are in the image?,"['3', '13', '18', '17', '8', '14', '15', '16', '20', '0', '7', '1', '4', '10', '2', '5', '6', '11']",2043,how many,3,number,"['3', '18', '3', '3', '3', '3', '16', '3', '19', '18']"
205,Does the yarn match the rug?,"['1', 'yes', 'no', 'hat', 'lap', '2', '3', 'white', 'ground', 'yellow', ""i don't know"", '4', 'closet', 'for heat', 'blue', 'red', 'ribs, pineapple, tomato, two unidentifiable items', 'side']",2050,does the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
205,Is the dog babysitting the baby?,"['bird bucket sun', 'red', 'sound asleep', 'it is sleeping', 'couch', 'no', '2', 'blue', 'white', '3', 'grilling', '1', 'maybe', ""man's lap"", 'yellow', 'yes', '4', 'trip her']",2051,is the dog,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
